series_code,category,price_type,adjustment_type,date,sales_value,price_flag,seasonal_adjusted,year,month,quarter
con_act,,At constant prices,Actual values,2002-01-01,43977.0,Constant,False,2002,1,2002Q1
con_seas,,At constant prices,Seasonally adjusted values,2002-01-01,47303.0,Constant,False,2002,1,2002Q1
cur_act,,At current prices,Actual values,2002-01-01,20669.0,Current,False,2002,1,2002Q1
cur_seas,,At current prices,Seasonally adjusted values,2002-01-01,22191.0,Current,False,2002,1,2002Q1
con_act,,At constant prices,Actual values,2002-02-01,42747.0,Constant,False,2002,2,2002Q1
con_seas,,At constant prices,Seasonally adjusted values,2002-02-01,47198.0,Constant,False,2002,2,2002Q1
cur_act,,At current prices,Actual values,2002-02-01,20134.0,Current,False,2002,2,2002Q1
cur_seas,,At current prices,Seasonally adjusted values,2002-02-01,22239.0,Current,False,2002,2,2002Q1
con_act,,At constant prices,Actual values,2002-03-01,47126.0,Constant,False,2002,3,2002Q1
con_seas,,At constant prices,Seasonally adjusted values,2002-03-01,48228.0,Constant,False,2002,3,2002Q1
cur_act,,At current prices,Actual values,2002-03-01,22479.0,Current,False,2002,3,2002Q1
cur_seas,,At current prices,Seasonally adjusted values,2002-03-01,22983.0,Current,False,2002,3,2002Q1
con_act,,At constant prices,Actual values,2002-04-01,45385.0,Constant,False,2002,4,2002Q2
con_seas,,At constant prices,Seasonally adjusted values,2002-04-01,47680.0,Constant,False,2002,4,2002Q2
cur_act,,At current prices,Actual values,2002-04-01,21830.0,Current,False,2002,4,2002Q2
cur_seas,,At current prices,Seasonally adjusted values,2002-04-01,22888.0,Current,False,2002,4,2002Q2
con_act,,At constant prices,Actual values,2002-05-01,47538.0,Constant,False,2002,5,2002Q2
con_seas,,At constant prices,Seasonally adjusted values,2002-05-01,48123.0,Constant,False,2002,5,2002Q2
cur_act,,At current prices,Actual values,2002-05-01,22961.0,Current,False,2002,5,2002Q2
cur_seas,,At current prices,Seasonally adjusted values,2002-05-01,23295.0,Current,False,2002,5,2002Q2
con_act,,At constant prices,Actual values,2002-06-01,46236.0,Constant,False,2002,6,2002Q2
con_seas,,At constant prices,Seasonally adjusted values,2002-06-01,47988.0,Constant,False,2002,6,2002Q2
cur_act,,At current prices,Actual values,2002-06-01,22702.0,Current,False,2002,6,2002Q2
cur_seas,,At current prices,Seasonally adjusted values,2002-06-01,23638.0,Current,False,2002,6,2002Q2
con_act,,At constant prices,Actual values,2002-07-01,45598.0,Constant,False,2002,7,2002Q3
con_seas,,At constant prices,Seasonally adjusted values,2002-07-01,47437.0,Constant,False,2002,7,2002Q3
cur_act,,At current prices,Actual values,2002-07-01,22662.0,Current,False,2002,7,2002Q3
cur_seas,,At current prices,Seasonally adjusted values,2002-07-01,23563.0,Current,False,2002,7,2002Q3
con_act,,At constant prices,Actual values,2002-08-01,45986.0,Constant,False,2002,8,2002Q3
con_seas,,At constant prices,Seasonally adjusted values,2002-08-01,47991.0,Constant,False,2002,8,2002Q3
cur_act,,At current prices,Actual values,2002-08-01,23039.0,Current,False,2002,8,2002Q3
cur_seas,,At current prices,Seasonally adjusted values,2002-08-01,24019.0,Current,False,2002,8,2002Q3
con_act,,At constant prices,Actual values,2002-09-01,45258.0,Constant,False,2002,9,2002Q3
con_seas,,At constant prices,Seasonally adjusted values,2002-09-01,46984.0,Constant,False,2002,9,2002Q3
cur_act,,At current prices,Actual values,2002-09-01,22991.0,Current,False,2002,9,2002Q3
cur_seas,,At current prices,Seasonally adjusted values,2002-09-01,23843.0,Current,False,2002,9,2002Q3
con_act,,At constant prices,Actual values,2002-10-01,46914.0,Constant,False,2002,10,2002Q4
con_seas,,At constant prices,Seasonally adjusted values,2002-10-01,47164.0,Constant,False,2002,10,2002Q4
cur_act,,At current prices,Actual values,2002-10-01,24020.0,Current,False,2002,10,2002Q4
cur_seas,,At current prices,Seasonally adjusted values,2002-10-01,24089.0,Current,False,2002,10,2002Q4
con_act,,At constant prices,Actual values,2002-11-01,49895.0,Constant,False,2002,11,2002Q4
con_seas,,At constant prices,Seasonally adjusted values,2002-11-01,47580.0,Constant,False,2002,11,2002Q4
cur_act,,At current prices,Actual values,2002-11-01,25646.0,Current,False,2002,11,2002Q4
cur_seas,,At current prices,Seasonally adjusted values,2002-11-01,24364.0,Current,False,2002,11,2002Q4
con_act,,At constant prices,Actual values,2002-12-01,64340.0,Constant,False,2002,12,2002Q4
con_seas,,At constant prices,Seasonally adjusted values,2002-12-01,47338.0,Constant,False,2002,12,2002Q4
cur_act,,At current prices,Actual values,2002-12-01,33135.0,Current,False,2002,12,2002Q4
cur_seas,,At current prices,Seasonally adjusted values,2002-12-01,24522.0,Current,False,2002,12,2002Q4
con_act,,At constant prices,Actual values,2003-01-01,45353.0,Constant,False,2003,1,2003Q1
con_seas,,At constant prices,Seasonally adjusted values,2003-01-01,48856.0,Constant,False,2003,1,2003Q1
cur_act,,At current prices,Actual values,2003-01-01,23538.0,Current,False,2003,1,2003Q1
cur_seas,,At current prices,Seasonally adjusted values,2003-01-01,25318.0,Current,False,2003,1,2003Q1
con_act,,At constant prices,Actual values,2003-02-01,43638.0,Constant,False,2003,2,2003Q1
con_seas,,At constant prices,Seasonally adjusted values,2003-02-01,48135.0,Constant,False,2003,2,2003Q1
cur_act,,At current prices,Actual values,2003-02-01,22561.0,Current,False,2003,2,2003Q1
cur_seas,,At current prices,Seasonally adjusted values,2003-02-01,24888.0,Current,False,2003,2,2003Q1
con_act,,At constant prices,Actual values,2003-03-01,48369.0,Constant,False,2003,3,2003Q1
con_seas,,At constant prices,Seasonally adjusted values,2003-03-01,49579.0,Constant,False,2003,3,2003Q1
cur_act,,At current prices,Actual values,2003-03-01,25007.0,Current,False,2003,3,2003Q1
cur_seas,,At current prices,Seasonally adjusted values,2003-03-01,25603.0,Current,False,2003,3,2003Q1
con_act,,At constant prices,Actual values,2003-04-01,46705.0,Constant,False,2003,4,2003Q2
con_seas,,At constant prices,Seasonally adjusted values,2003-04-01,48971.0,Constant,False,2003,4,2003Q2
cur_act,,At current prices,Actual values,2003-04-01,24240.0,Current,False,2003,4,2003Q2
cur_seas,,At current prices,Seasonally adjusted values,2003-04-01,25369.0,Current,False,2003,4,2003Q2
con_act,,At constant prices,Actual values,2003-05-01,49088.0,Constant,False,2003,5,2003Q2
con_seas,,At constant prices,Seasonally adjusted values,2003-05-01,49703.0,Constant,False,2003,5,2003Q2
cur_act,,At current prices,Actual values,2003-05-01,25526.0,Current,False,2003,5,2003Q2
cur_seas,,At current prices,Seasonally adjusted values,2003-05-01,25899.0,Current,False,2003,5,2003Q2
con_act,,At constant prices,Actual values,2003-06-01,47671.0,Constant,False,2003,6,2003Q2
con_seas,,At constant prices,Seasonally adjusted values,2003-06-01,49523.0,Constant,False,2003,6,2003Q2
cur_act,,At current prices,Actual values,2003-06-01,24741.0,Current,False,2003,6,2003Q2
cur_seas,,At current prices,Seasonally adjusted values,2003-06-01,25787.0,Current,False,2003,6,2003Q2
con_act,,At constant prices,Actual values,2003-07-01,48013.0,Constant,False,2003,7,2003Q3
con_seas,,At constant prices,Seasonally adjusted values,2003-07-01,49979.0,Constant,False,2003,7,2003Q3
cur_act,,At current prices,Actual values,2003-07-01,25111.0,Current,False,2003,7,2003Q3
cur_seas,,At current prices,Seasonally adjusted values,2003-07-01,26120.0,Current,False,2003,7,2003Q3
con_act,,At constant prices,Actual values,2003-08-01,47603.0,Constant,False,2003,8,2003Q3
con_seas,,At constant prices,Seasonally adjusted values,2003-08-01,49677.0,Constant,False,2003,8,2003Q3
cur_act,,At current prices,Actual values,2003-08-01,24944.0,Current,False,2003,8,2003Q3
cur_seas,,At current prices,Seasonally adjusted values,2003-08-01,26007.0,Current,False,2003,8,2003Q3
con_act,,At constant prices,Actual values,2003-09-01,48686.0,Constant,False,2003,9,2003Q3
con_seas,,At constant prices,Seasonally adjusted values,2003-09-01,50496.0,Constant,False,2003,9,2003Q3
cur_act,,At current prices,Actual values,2003-09-01,25463.0,Current,False,2003,9,2003Q3
cur_seas,,At current prices,Seasonally adjusted values,2003-09-01,26388.0,Current,False,2003,9,2003Q3
con_act,,At constant prices,Actual values,2003-10-01,49985.0,Constant,False,2003,10,2003Q4
con_seas,,At constant prices,Seasonally adjusted values,2003-10-01,50214.0,Constant,False,2003,10,2003Q4
cur_act,,At current prices,Actual values,2003-10-01,26242.0,Current,False,2003,10,2003Q4
cur_seas,,At current prices,Seasonally adjusted values,2003-10-01,26301.0,Current,False,2003,10,2003Q4
con_act,,At constant prices,Actual values,2003-11-01,53741.0,Constant,False,2003,11,2003Q4
con_seas,,At constant prices,Seasonally adjusted values,2003-11-01,51221.0,Constant,False,2003,11,2003Q4
cur_act,,At current prices,Actual values,2003-11-01,28268.0,Current,False,2003,11,2003Q4
cur_seas,,At current prices,Seasonally adjusted values,2003-11-01,26833.0,Current,False,2003,11,2003Q4
con_act,,At constant prices,Actual values,2003-12-01,70204.0,Constant,False,2003,12,2003Q4
con_seas,,At constant prices,Seasonally adjusted values,2003-12-01,51671.0,Constant,False,2003,12,2003Q4
cur_act,,At current prices,Actual values,2003-12-01,36857.0,Current,False,2003,12,2003Q4
